,CO,IA,MA,MT,NE,NJ,WI,AZ,IL,MD,MO,TX
,lobbying,lobbying,lobbying,lobbying,lobbying,lobbying,lobbying,testimony,testimony,testimony,testimony,testimony
target_ftm,,,,,,,,,,,,
AGRICULTURE_AGRICULTURAL SERVICES & PRODUCTS,-0.014000767165324127,-0.002324749642346209,-0.0037641154328732747,-0.0125,-0.07462686567164178,0.0,-0.025,0.0,-0.00365732018175773,-0.021848739495798318,-0.009615384615384616,0.0
AGRICULTURE_COMMODITY BROKERS & DEALERS,0.0,-0.004291845493562232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGRICULTURE_CROP PRODUCTION & BASIC PROCESSING,-0.0349060222477944,-0.004291845493562232,0.0,-0.0015873015873015875,-0.007462686567164179,0.0,-0.044444444444444446,-0.022556390977443608,-0.0026377036462373934,0.0,-0.026098901098901096,-0.0008130081300813008
AGRICULTURE_CROP PRODUCTION & BASIC PROCESSING & LIVESTOCK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.019230769230769232,0.0
AGRICULTURE_DAIRY,0.0,0.0,0.0,0.0,0.0,0.0,-0.03148148148148148,0.0,-0.004654771140418929,0.0,0.0,0.0
AGRICULTURE_FARM BUREAU,-0.16340621403912542,-0.02575107296137339,0.0,-0.047619047619047616,-0.05223880597014925,-0.003115264797507788,-0.06296296296296296,-0.06766917293233082,-0.08921644685802949,-0.052941176470588235,-0.028846153846153848,-0.0013008130081300813
AGRICULTURE_FOOD PROCESSING & SALES,-0.009781357882623706,-0.004291845493562232,0.0,0.0,-0.0029850746268656717,0.0,-0.040740740740740744,0.0,-0.0023273855702094647,0.0,-0.0032051282051282055,0.0
AGRICULTURE_FORESTRY & FOREST PRODUCTS,-0.005753739930955121,-0.00536480686695279,-0.01631116687578419,-0.013095238095238096,0.0,0.0,-0.03185185185185185,0.0,-0.0015515903801396431,-0.026330532212885154,0.0,-0.0012195121951219512
AGRICULTURE_LIVESTOCK,-0.041426927502876874,0.0,0.0,-0.02857142857142857,-0.018656716417910446,0.0,-0.040740740740740744,-0.05263157894736842,0.0,-0.0016806722689075631,-0.035256410256410256,-0.0010162601626016261
AGRICULTURE_MISCELLANEOUS AGRICULTURE,-0.01611047180667434,0.0,0.0,0.0,-0.05970149253731343,0.0,0.0,0.0,-0.0018840740330267095,-0.0008403361344537816,0.0,0.0
AGRICULTURE_POULTRY & EGGS,-0.005753739930955121,0.0,0.0,0.0,0.0,0.0,-0.040740740740740744,0.0,0.0,0.0,-0.038461538461538464,-0.013008130081300813
AGRICULTURE_TOBACCO,-0.004602991944764097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0023273855702094647,0.0,0.0,0.0
CANDIDATE CONTRIBUTIONS_CANDIDATE COMMITTEES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005430566330488751,0.0,0.0,0.0
CANDIDATE CONTRIBUTIONS_CANDIDATE CONTRIBUTIONS,-0.05753739930955121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"COMMUNICATIONS & ELECTRONICS_BANDS, ORCHESTRAS & OTHER LIVE MUSIC PRODUCTION",0.0,0.0,-0.0012547051442910915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COMMUNICATIONS & ELECTRONICS_CABLE TV,0.0,-0.004291845493562232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COMMUNICATIONS & ELECTRONICS_COMPUTER EQUIPMENT & SERVICES,-0.009781357882623706,0.0,-0.0018820577164366374,0.0,-0.0018656716417910447,0.0,0.0,-0.0015037593984962405,-0.012412723041117145,-0.01680672268907563,-0.0032051282051282055,-0.0014905149051490515
COMMUNICATIONS & ELECTRONICS_ELECTRONICS MANUFACTURING & SERVICES,0.0,0.0,-0.002509410288582183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016260162601626016
COMMUNICATIONS & ELECTRONICS_MISCELLANEOUS COMMUNICATIONS & ELECTRONICS,0.0,0.0,-0.0037641154328732747,0.0,-0.0024875621890547263,0.0,0.0,0.0,-0.0008727695888285493,0.0,0.0,-0.005691056910569106
COMMUNICATIONS & ELECTRONICS_PRINTING & PUBLISHING,0.0,0.0,0.0,0.0,-0.0037313432835820895,0.0,0.0,0.0,-0.007370054305663305,0.0,0.0,0.0
COMMUNICATIONS & ELECTRONICS_TELECOM SERVICES & EQUIPMENT,0.0,-0.004291845493562232,-0.0018820577164366374,0.0,0.0,-0.003115264797507788,-0.003703703703703704,0.0,-0.002585983966899405,0.0,-0.009615384615384616,0.0
COMMUNICATIONS & ELECTRONICS_TELEPHONE UTILITIES,0.0,0.0,0.0,-0.002380952380952381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COMMUNICATIONS & ELECTRONICS_TV & MOVIE PRODUCTION/DISTRIBUTION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016806722689075631,0.0,0.0
CONSTRUCTION_BUILDING MATERIALS & EQUIPMENT,-0.0170968272234095,-0.001072961373390558,-0.0002509410288582183,-0.0047619047619047615,-0.0037313432835820895,-0.006230529595015576,-0.03333333333333333,-0.05639097744360902,-0.016291698991466253,0.0,-0.001201923076923077,-0.004336043360433604
CONSTRUCTION_CONSTRUCTION SERVICES,-0.0023014959723820483,-0.0033721643163703253,0.0,-0.003174603174603175,-0.004477611940298507,-0.010903426791277258,-0.020370370370370372,-0.004511278195488721,-0.0010825049163764953,-0.0007639419404125286,-0.0013736263736263737,-0.0022764227642276423
CONSTRUCTION_GENERAL CONTRACTORS,-0.024254226785872357,-0.004023605150214592,-0.0003136762860727729,-0.03154761904761905,-0.0029850746268656717,-0.005451713395638629,-0.07111111111111111,-0.004177109440267335,-0.0073208841879828235,-0.001680672268907563,-0.0009615384615384616,-0.004994192799070847
CONSTRUCTION_HOME BUILDERS,-0.025891829689298044,-0.03755364806866953,-0.0056461731493099125,0.0,0.0,-0.006230529595015576,-0.040740740740740744,-0.09022556390977443,-0.01291698991466253,-0.1226890756302521,0.0,-0.0025129342202512934
CONSTRUCTION_SPECIAL TRADE CONTRACTORS,-0.01812428078250863,0.0,-0.0012547051442910915,0.0,0.0,-0.014018691588785047,-0.017777777777777778,-0.06766917293233082,-0.00931900319778993,0.0,-0.0003205128205128205,-0.0035772357723577236
DEFENSE_DEFENSE AEROSPACE,0.0,-0.004291845493562232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
