state_long,Seats,Senate,sen_dem_ct,sen_rep_ct,other,House,hou_dem_ct,hou_rep_ct,other,year,st
Alabama,140,35,21,14,0,105,60,45,0,2010,AL
Alaska,60,20,10,10,0,40,18,22,0,2010,AK
Arizona,90,30,12,18,0,60,25,35,0,2010,AZ
Arkansas,135,35,27,8,0,100,71,28,1,2010,AR
California,120,40,25,14,1v,80,49,29,"1, 1v",2010,CA
Colorado,100,35,21,14,0,65,37,27,1,2010,CO
Connecticut,187,36,24,12,0,151,114,36,1v,2010,CT
Delaware,62,21,15,6,0,41,24,17,0,2010,DE
Florida,160,40,14,26,0,120,43,76,1v,2010,FL
Georgia,236,56,21,34,1v,180,74,105,1,2010,GA
Hawaii,76,25,23,2,0,51,45,6,0,2010,HI
Idaho,105,35,7,28,0,70,18,52,0,2010,ID
Illinois,177,59,37,22,0,118,70,48,0,2010,IL
Indiana,150,50,17,33,0,100,52,48,0,2010,IN
Iowa,150,50,32,18,0,100,56,44,0,2010,IA
Kansas,165,40,9,31,0,125,49,76,0,2010,KS
Kentucky,138,38,17,20,1,100,65,35,0,2010,KY
Louisiana,144,39,23,16,0,105,52,50,3,2010,LA
Maine,186,35,20,15,0,151,95,55,1,2010,ME
Maryland,188,47,33,14,0,141,104,36,1v,2010,MD
Massachusetts,200,40,34,5,1v,160,144,16,0,2010,MA
Michigan,148,38,16,22,0,110,66,43,1v,2010,MI
Minnesota,201,67,46,21,0,134,87,47,0,2010,MN
Mississippi,174,52,26,25,1v,122,74,48,0,2010,MS
Missouri,197,34,11,23,0,163,73,89,1v,2010,MO
Montana,150,50,23,27,0,100,50,50,0,2010,MT
Nebraska,49,49,,,49,,,,,2010,NE
Nevada,63,21,12,8,1v,42,28,14,0,2010,NV
New Hampshire,424,24,14,10,0,400,222,175,3v,2010,NH
New Jersey,120,40,23,17,0,80,47,33,0,2010,NJ
New Mexico,112,42,27,15,0,70,45,25,0,2010,NM
New York,212,62,32,30,0,150,109,41,0,2010,NY
North Carolina,170,50,30,20,0,120,68,52,0,2010,NC
North Dakota,141,47,21,26,0,94,36,58,0,2010,ND
Ohio,132,33,12,21,0,99,53,46,0,2010,OH
Oklahoma,149,48,22,26,0,101,40,61,0,2010,OK
Oregon,90,30,18,12,0,60,36,24,0,2010,OR
Pennsylvania,253,50,20,30,0,203,103,97,3v,2010,PA
Rhode Island,113,38,33,4,1,75,69,6,0,2010,RI
South Carolina,170,46,19,27,0,124,51,73,0,2010,SC
South Dakota,105,35,14,21,0,70,24,46,0,2010,SD
Tennessee,132,33,14,19,0,99,47,50,"1, 1v",2010,TN
Texas,181,31,12,19,0,150,73,77,0,2010,TX
Utah,104,29,8,21,0,75,22,53,0,2010,UT
Vermont,180,30,22,7,1,150,95,48,7,2010,VT
Virginia,140,40,22,18,0,100,39,59,2,2010,VA
Washington,147,49,31,18,0,98,62,36,0,2010,WA
West Virginia,134,34,26,8,0,100,71,29,0,2010,WV
Wisconsin,132,33,18,15,0,99,52,46,1,2010,WI
Wyoming,90,30,7,23,0,60,19,41,0,2010,WY
Alabama,140,35,12,22,1,105,39,66,0,2011,AL
Alaska,60,20,10,10,0,40,16,24,0,2011,AK
Arizona,90,30,9,21,0,60,20,40,0,2011,AZ
Arkansas,135,35,20,15,0,100,55,44,1v,2011,AR
California,120,40,25,15,0,80,52,28,0,2011,CA
Colorado,100,35,20,15,0,65,32,33,0,2011,CO
Connecticut,187,36,23,13,0,151,100,51,0,2011,CT
Delaware,62,21,14,7,0,41,26,15,0,2011,DE
Florida,160,40,12,28,0,120,39,81,0,2011,FL
Georgia,236,56,20,36,0,180,66,113,1,2011,GA
Hawaii,76,25,24,1,0,51,43,8,0,2011,HI
Idaho,105,35,7,28,0,70,13,57,0,2011,ID
Illinois,177,59,35,24,0,118,64,54,0,2011,IL
Indiana,150,50,13,37,0,100,40,59,1u,2011,IN
Iowa,150,50,26,24,0,100,40,60,0,2011,IA
Kansas,165,40,8,32,0,125,33,92,0,2011,KS
Kentucky,138,38,15,22,1,100,58,42,0,2011,KY
Louisiana,144,39,20,18,1,105,49,52,4,2011,LA
Maine,186,35,14,20,1,151,72,78,1,2011,ME
Maryland,188,47,35,12,0,141,98,43,0,2011,MD
Massachusetts,200,40,36,4,0,160,128,31,1u,2011,MA
Michigan,148,38,12,26,0,110,47,63,0,2011,MI
Minnesota,201,67,30,37,0,134,62,72,0,2011,MN
Mississippi,174,52,26,25,1v,122,72,50,0,2011,MS
Missouri,197,34,8,26,0,163,57,106,0,2011,MO
Montana,150,50,22,28,0,100,32,68,0,2011,MT
Nebraska,49,49,,,49,,,,,2011,NE
Nevada,63,21,11,10,0,42,26,16,0,2011,NV
New Hampshire,424,24,5,19,0,400,102,298,0,2011,NH
New Jersey,120,40,24,16,0,80,47,33,0,2011,NJ
New Mexico,112,42,27,15,0,70,37,33,0,2011,NM
New York,212,62,30,32,0,150,100,48,2u,2011,NY
North Carolina,170,50,19,31,0,120,52,67,1,2011,NC
North Dakota,141,47,12,35,0,94,25,69,0,2011,ND
Ohio,132,33,10,23,0,99,40,59,0,2011,OH
Oklahoma,149,48,16,32,0,101,31,70,0,2011,OK
Oregon,90,30,16,14,0,60,30,30,0,2011,OR
Pennsylvania,253,50,20,30,0,203,91,112,0,2011,PA
Rhode Island,113,38,29,8,1,75,65,10,0,2011,RI
South Carolina,170,46,19,27,0,124,48,75,1v,2011,SC
South Dakota,105,35,5,30,0,70,19,50,1,2011,SD
Tennessee,132,33,13,19,1v,99,33,64,"1,1v",2011,TN
Texas,181,31,12,19,0,150,49,101,0,2011,TX
Utah,104,29,7,22,0,75,17,58,0,2011,UT
Vermont,180,30,22,8,0,150,95,48,7,2011,VT
Virginia,140,40,22,18,0,100,39,59,2,2011,VA
Washington,147,49,27,22,0,98,56,42,0,2011,WA
West Virginia,134,34,28,6,0,100,65,35,0,2011,WV
Wisconsin,132,33,14,19,0,99,38,60,1,2011,WI
Wyoming,90,30,4,26,0,60,10,50,0,2011,WY
Alabama,140,35,12,22,1,105,40,65,0,2012,AL
Alaska,60,20,10,10,0,40,18,22,0,2012,AK
Arizona,90,30,9,21,0,60,20,40,0,2012,AZ
Arkansas,135,35,20,15,0,100,55,45,0,2012,AR
California,120,40,25,15,0,80,52,28,0,2012,CA
Colorado,100,35,20,15,0,65,32,33,0,2012,CO
Connecticut,187,36,22,14,0,151,100,51,0,2012,CT
